,repo_name,repo_language
0,.github,None
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,apache-pyiceberg,Java
5,archaius,Java
6,asgard,Groovy
7,astyanax,Java
8,atlas,Scala
9,atlas-docs,Python
10,aws-autoscaling,Shell
11,awsobjectmapper,Groovy
12,batch_request_api,Ruby
13,batch_request_client,Ruby
14,bbparse,C
15,bettertls,Go
16,blesk,JavaScript
17,bless,Python
18,blitz4j,Java
19,bpftop,Rust
20,brutal,Python
21,cachemover,C++
22,CassJMeter,Java
23,chaosmonkey,Go
24,Cloud-Prize,None
25,clove,Python
26,codec_compare,Python
27,concurrency-limits,Java
28,conductor,Java
29,conductor-community,Java
30,conductor-docs,Python
31,conductor-ui,JavaScript
32,consoleme,Python
33,curator,Java
34,denominator,Java
35,derand,Java
36,dgs,HTML
37,dgs-codegen,Kotlin
38,dgs-examples-java,Java
39,dgs-examples-java-2.7,Java
40,dgs-examples-java.latest,Java
41,dgs-examples-java16,Java
42,dgs-examples-kotlin,Kotlin
43,dgs-examples-kotlin-2.7,Kotlin
44,dgs-examples-webflux,Java
45,dgs-federation-example,Kotlin
46,dgs-framework,Kotlin
47,dgs-intellij-plugin,Kotlin
48,dial-reference,C
49,dispatch,Python
50,dispatch-docker,Shell
51,dyno,Java
52,dyno-queues,Java
53,dynomite,C
54,dynomite-manager,Java
55,e2nest,Python
56,eclipse-jifa,Java
57,eclipse-mat,None
58,edda,Scala
59,edda-client,Java
60,element-server,JavaScript
61,ember-batch-request,JavaScript
62,ember-nf-graph,JavaScript
63,ember-nf-graph-examples,JavaScript
64,eslint-config-netflix,Shell
65,eslint-config-netflix-dea,JavaScript
66,eureka,Java
67,eureka-ui,JavaScript
68,EVCache,Java
69,fabricator,Java
70,falcor,JavaScript
71,falcor-datasource-chainer,JavaScript
72,falcor-express,JavaScript
73,falcor-express-demo,HTML
74,falcor-hapi,JavaScript
75,falcor-hapi-demo,HTML
76,falcor-http-datasource,JavaScript
77,falcor-json-graph,JavaScript
78,falcor-observable,JavaScript
79,falcor-path-syntax,JavaScript
80,falcor-path-utils,JavaScript
81,falcor-restify,JavaScript
82,falcor-restify-demo,HTML
83,falcor-router,JavaScript
84,falcor-router-demo,JavaScript
85,fast_jsonapi,Ruby
86,Fenzo,Java
87,Fido,C#
88,flamescope,Python
89,frigga,Java
90,genie,Java
91,glisten,Groovy
92,go-env,Go
93,go-expect,Go
94,go-iomux,Go
95,governator,Java
96,gradle-template,Java
97,hal-9001,Go
98,hollow,Java
99,hollow-reference-implementation,Java
100,hubcommander,Python
101,Hystrix,Java
102,iceberg,Java
103,iceberg-python,Python
104,iep,Java
105,iep-shadow,None
106,image_compression_comparison,Python
107,inviso,JavaScript
108,karyon,Java
109,lemur,Python
110,lemur-docker,Python
111,libamicontained,Rust
112,Lipstick,JavaScript
113,mantis,Java
114,mantis-api,Java
115,mantis-cli,JavaScript
116,mantis-connectors,Java
117,mantis-control-plane,Java
118,mantis-examples,Java
119,mantis-gradle-plugin,Groovy
120,mantis-helm,Smarty
121,mantis-mql,Clojure
122,mantis-rxcontrol,Java
123,mantis-rxnetty,None
124,mantis-source-jobs,Java
125,mantis-ui,TypeScript
126,matchcut,Jupyter Notebook
127,metacat,Java
128,metaflow,Python
129,metaflow-docs,JavaScript
130,metaflow-extensions-template,Python
131,metaflow-nflx-extensions,Python
132,metaflow-service,Python
133,metaflow-tools,HCL
134,metaflow-ui,TypeScript
135,metrics-client-go,Go
136,msl,C++
137,ndbench,HTML
138,nerror,JavaScript
139,netflix-commons,Java
140,netflix-graph,Java
141,netflix.github.com,HTML
142,netflixoss-npm-build-infrastructure,None
143,nf-data-explorer,TypeScript
144,nflx-geofeed,None
145,nflxprofile,Python
146,NfWebCrypto,C++
147,Nicobar,Java
148,ocelli,Java
149,octodns,None
150,octodns-ns1,Python
151,octodns-route53,None
152,octodns-ultra,Python
153,osstracker,Scala
154,p2plab,Go
155,photon,Java
156,PigPen,Clojure
157,pollyjs,JavaScript
158,polynote,HTML
159,Prana,Java
160,Priam,Java
161,probnik,TypeScript
162,pygenie,Python
163,pytheas,JavaScript
164,q,Java
165,Raigad,Java
166,ReactiveLab,Java
167,reactivesocket-examples,Java
168,read_bbrlog,C
169,recipes-rss,Java
170,rend,Go
171,rend-http,Go
172,rend-lmdb,Go
173,repokid,Python
174,restful-jsonapi,Ruby
175,ribbon,Java
176,runtime-health,Java
177,rx-aws-java-sdk,Java
178,s3mper,Java
179,security-bulletins,None
180,security_monkey,Python
181,servo,Java
182,sherlock,R
183,signal-wrapper,Go
184,SimianArmy,Java
185,sleepy-puppy-docker,Dockerfile
186,spark,Scala
187,spectator,Java
188,spectator-cpp,C++
189,spectator-go,Go
190,spectator-js,JavaScript
191,spectator-py,Python
192,spectator-rb,Ruby
193,staash,Java
194,sureal,Python
195,suro,Java
196,Surus,Java
197,taskintrospection,C
198,tcplog_dumper,C
199,techreports,None
200,titus,None
201,titus-api-definitions,Makefile
202,titus-control-plane,Java
203,titus-executor,Go
204,titus-kube-common,Go
205,tslint-config-netflix,JavaScript
206,Turbine,Java
207,unleash,JavaScript
208,user2020-metaflow-tutorial,R
209,vector,JavaScript
210,vectorflow,D
211,videoannotator,Jupyter Notebook
212,virtual-kubelet,Go
213,vizceral,JavaScript
214,vizceral-component,JavaScript
215,vizceral-example,JavaScript
216,vizceral-react,JavaScript
217,vmaf,Python
218,vmaf_resource,None
219,vp9-dash,None
220,webpack-parse-query,JavaScript
221,weep,Go
222,Workflowable,Ruby
223,x-element,JavaScript
224,x-test,JavaScript
225,yetch,JavaScript
226,zeno,Java
227,zuul,Java
